,사용일자,행정구역,강수량,적설,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수
0,2023-04-01,서울,0.0,0.0,0,0,0.0,0.0,0.0,24900.587467362926
1,2023-04-01,경기북서부,0.0,0.0,0,0,0.0,0.0,0.0,13612.32098765432
39,2023-04-01,경기동부,0.0,0.0,0,0,0.0,0.0,0.0,6265.047619047619
258,2023-04-01,경기중부,0.0,0.0,0,0,0.0,0.0,0.0,20841.56862745098
282,2023-04-01,인천,0.0,0.0,0,0,0.0,0.0,0.0,14238.0
296,2023-04-01,경기남부,0.0,0.0,0,0,0.0,0.0,0.0,11881.0
583,2023-04-02,경기중부,0.0,0.0,0,0,0.0,0.0,0.0,16096.627450980392
584,2023-04-02,서울,0.0,0.0,0,0,0.0,0.0,0.0,18498.992167101827
691,2023-04-02,경기북서부,0.0,0.0,0,0,0.0,0.0,0.0,10424.432098765432
755,2023-04-02,경기동부,0.0,0.0,0,0,0.0,0.0,0.0,4895.571428571428
956,2023-04-02,인천,0.0,0.0,0,0,0.0,0.0,0.0,11114.033333333333
973,2023-04-02,경기남부,0.0,0.0,0,0,0.0,0.0,0.0,9575.29411764706
1166,2023-04-03,경기중부,0.0,0.0,0,0,0.0,0.0,0.0,25908.823529411766
1170,2023-04-03,경기남부,0.0,0.0,0,0,0.0,0.0,0.0,14620.588235294117
1172,2023-04-03,경기북서부,0.0,0.0,0,0,0.0,0.0,0.0,17079.6625
1175,2023-04-03,인천,0.0,0.0,0,0,0.0,0.0,0.0,16287.366666666667
1186,2023-04-03,서울,0.0,0.0,0,0,0.0,0.0,0.0,31261.21671018277
1413,2023-04-03,경기동부,0.0,0.0,0,0,0.0,0.0,0.0,7069.285714285715
1748,2023-04-04,서울,0.2105263157894736,0.0,0,0,0.0,0.0,0.0,31379.71540469974
1751,2023-04-04,경기북서부,0.1394736842105263,0.0,0,0,0.0,0.0,0.0,16853.95
1766,2023-04-04,인천,0.5473684210526316,0.0,0,0,0.0,0.0,0.0,16081.266666666666
1806,2023-04-04,경기중부,0.3894736842105263,0.0,0,0,0.0,0.0,0.0,26430.019607843136
1836,2023-04-04,경기남부,0.0,0.0,0,0,0.0,0.0,0.0,14468.0
1903,2023-04-04,경기동부,0.1842105263157894,0.0,0,0,0.0,0.0,0.0,7063.428571428572
