,사용일자,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수,강수량,적설,행정구역_경기남부,행정구역_경기동부,행정구역_경기북서부,행정구역_경기중부,행정구역_서울,행정구역_인천,요일,평일,주말
18,2023-04-04,0.0,0.0,0.0,0.0,0.0,1.153397634770604,0.1097142710283525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0
19,2023-04-04,0.0,0.0,0.0,0.0,0.0,0.199043533366836,0.0749783460481856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0
20,2023-04-04,0.0,0.0,0.0,0.0,0.0,0.1269894843656195,0.2506939389431066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0
21,2023-04-04,0.0,0.0,0.0,0.0,0.0,0.8898305805198904,0.1888865786097748,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
23,2023-04-04,0.0,0.0,0.0,0.0,0.0,-1.1361361975753272,0.0970927916619138,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
24,2023-04-05,0.0,0.0,0.0,0.0,0.0,1.0637710980746462,0.6318892953207865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0
25,2023-04-05,0.0,0.0,0.0,0.0,0.0,0.039400811275919,0.6408699957260507,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,0
26,2023-04-05,0.0,0.0,0.0,0.0,0.0,-1.2917448843647237,0.5243674921970854,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0
27,2023-04-05,0.0,0.0,0.0,0.0,0.0,0.7412248492389746,0.5321969837212764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,0
28,2023-04-05,0.0,0.0,0.0,0.0,0.0,-0.0187774282530205,0.5412966205345227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0
30,2023-04-06,0.0,0.0,1.0,1.0,0.0,1.1443787655108475,0.0763030391250408,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0
31,2023-04-06,0.0,0.0,0.0,0.0,0.0,-1.1964878316415153,0.0906764769307636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0
32,2023-04-06,0.0,0.0,0.0,0.0,0.0,0.1489914876899449,0.0351694086604097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,0
33,2023-04-06,0.0,0.0,1.0,1.0,0.0,0.8261896251036416,0.081571463180414,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,0
34,2023-04-06,0.0,0.0,0.0,0.0,0.0,0.0921630706983781,0.0236839419179896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0
36,2023-04-07,0.0,0.0,1.0,1.0,0.0,0.9251915754720866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0
37,2023-04-07,0.0,0.0,1.0,1.0,0.0,1.2211425629391814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0
39,2023-04-07,0.0,0.0,1.0,1.0,0.0,-1.082858344597618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,0
