,Unnamed: 0,사용일자,승차총승객수,하차총승객수,총승객수
0,0,20230401,6244798,6218351,12463149
1,1,20230402,4690206,4659243,9349449
2,2,20230403,7785943,7760490,15546433
3,3,20230404,7808337,7783098,15591435
4,4,20230405,7297518,7275609,14573127
5,5,20230406,7710316,7688958,15399274
6,6,20230407,8129012,8105939,16234951
7,7,20230408,5982571,5956041,11938612
8,8,20230409,4394585,4366765,8761350
9,9,20230410,7651116,7627251,15278367
10,10,20230411,7394194,7372949,14767143
11,11,20230412,7831766,7809330,15641096
12,12,20230413,7814034,7792529,15606563
13,13,20230414,7960673,7937373,15898046
14,14,20230415,5458411,5433694,10892105
15,15,20230416,4148201,4123213,8271414
16,16,20230417,7522969,7498419,15021388
17,17,20230418,7500972,7478738,14979710
18,18,20230419,7858135,7833858,15691993
19,19,20230420,7713357,7690697,15404054
20,20,20230421,7956313,7934121,15890434
21,21,20230422,5724435,5698416,11422851
22,22,20230423,4179814,4153250,8333064
23,23,20230424,7523656,7497208,15020864
24,24,20230425,7564203,7538166,15102369
25,25,20230426,7833490,7808467,15641957
26,26,20230427,7987762,7965827,15953589
27,27,20230428,8276412,8253807,16530219
28,28,20230429,5365267,5339949,10705216
29,29,20230430,4728548,4700749,9429297
30,30,20230501,5454807,5427611,10882418
31,31,20230502,7829527,7802906,15632433
32,32,20230503,8006592,7980715,15987307
33,33,20230504,8248955,8220832,16469787
34,34,20230505,3975049,3956171,7931220
35,35,20230506,4520935,4501129,9022064
36,36,20230507,4228096,4203759,8431855
37,37,20230508,7586716,7560802,15147518
38,38,20230509,7869196,7844948,15714144
39,39,20230510,7911469,7884395,15795864
40,40,20230511,7950611,7923369,15873980
41,41,20230512,8333693,8306352,16640045
42,42,20230513,6232112,6199767,12431879
43,43,20230514,4592418,4561178,9153596
44,44,20230515,7685793,7657299,15343092
45,45,20230516,7894006,7863425,15757431
46,46,20230517,7937941,7905829,15843770
47,47,20230518,7783646,7755989,15539635
48,48,20230519,8253607,8224852,16478459
49,49,20230520,6345758,6310417,12656175
50,50,20230521,4506382,4473152,8979534
51,51,20230522,7579590,7549766,15129356
52,52,20230523,7820907,7791091,15611998
53,53,20230524,7862886,7835875,15698761
54,54,20230525,7968864,7942002,15910866
55,55,20230526,8112850,8082737,16195587
56,56,20230527,5013113,4983170,9996283
57,57,20230528,3813412,3788279,7601691
58,58,20230529,4435248,4407626,8842874
59,59,20230530,7676386,7644007,15320393
60,60,20230531,7772857,7738699,15511556
61,61,20230601,7770149,7740096,15510245
62,62,20230602,8001428,7971912,15973340
63,63,20230603,5864013,5832628,11696641
64,64,20230604,4310797,4281211,8592008
65,65,20230605,7085070,7054010,14139080
66,66,20230606,4399283,4367746,8767029
67,67,20230607,7641107,7608148,15249255
68,68,20230608,7639259,7607977,15247236
69,69,20230609,7924731,7891352,15816083
70,70,20230610,5540249,5511585,11051834
71,71,20230611,4003565,3976889,7980454
72,72,20230612,7468364,7441464,14909828
73,73,20230613,7717339,7690021,15407360
74,74,20230614,7697833,7671842,15369675
75,75,20230615,7740600,7714123,15454723
76,76,20230616,7991451,7961767,15953218
77,77,20230617,5984060,5955070,11939130
78,78,20230618,4293978,4268141,8562119
79,79,20230619,7331857,7304919,14636776
80,80,20230620,7554697,7526028,15080725
81,81,20230621,7451829,7424635,14876464
82,82,20230622,7727182,7697729,15424911
83,83,20230623,8014417,7983066,15997483
84,84,20230624,5911215,5882119,11793334
85,85,20230625,4215538,4192157,8407695
86,86,20230626,7030853,7004619,14035472
87,87,20230627,7500540,7470012,14970552
88,88,20230628,7559512,7528349,15087861
89,89,20230629,6950070,6922945,13873015
90,90,20230630,7829028,7798804,15627832
91,91,20230701,5625899,5593794,11219693
92,92,20230702,4080516,4053370,8133886
93,93,20230703,7267171,7234823,14501994
94,94,20230704,7244698,7213777,14458475
95,95,20230705,7526867,7495777,15022644
96,96,20230706,7622949,7590191,15213140
97,97,20230707,7866107,7834113,15700220
98,98,20230708,5653693,5625042,11278735
99,99,20230709,3748312,3726818,7475130
100,100,20230710,7206436,7177710,14384146
101,101,20230711,7053718,7024550,14078268
102,102,20230712,7551503,7520516,15072019
103,103,20230713,7074701,7046295,14120996
104,104,20230714,7328511,7298051,14626562
105,105,20230715,5122484,5097524,10220008
106,106,20230716,3883886,3863336,7747222
107,107,20230717,7203008,7173282,14376290
108,108,20230718,7285416,7256422,14541838
109,109,20230719,7578447,7546855,15125302
110,110,20230720,7610579,7578802,15189381
111,111,20230721,7754436,7723903,15478339
112,112,20230722,5342715,5315659,10658374
113,113,20230723,3443647,3424498,6868145
114,114,20230724,7119060,7091012,14210072
115,115,20230725,7294504,7264059,14558563
116,116,20230726,7330871,7301630,14632501
117,117,20230727,7386318,7355592,14741910
118,118,20230728,7464202,7431724,14895926
119,119,20230729,5136393,5110489,10246882
120,120,20230730,3938783,3917747,7856530
121,121,20230731,6796433,6766288,13562721
122,122,20230801,6883381,6849992,13733373
123,123,20230802,6842616,6812609,13655225
124,124,20230803,6879836,6849042,13728878
125,125,20230804,6910389,6871943,13782332
126,126,20230805,4730782,4702166,9432948
127,127,20230806,3598592,3576472,7175064
128,128,20230807,6745721,6717927,13463648
129,129,20230808,7020635,6990794,14011429
130,130,20230809,7105237,7075481,14180718
131,131,20230810,5722984,5701109,11424093
132,132,20230811,6920617,6894157,13814774
133,133,20230812,5070646,5042931,10113577
134,134,20230813,3961486,3941959,7903445
135,135,20230814,6524902,6498605,13023507
136,136,20230815,4191997,4170217,8362214
137,137,20230816,7237745,7210296,14448041
138,138,20230817,7322091,7293523,14615614
139,139,20230818,7559527,7528389,15087916
140,140,20230819,5369222,5345515,10714737
141,141,20230820,3965773,3943995,7909768
142,142,20230821,7070795,7044440,14115235
143,143,20230822,7142586,7114932,14257518
144,144,20230823,6968338,6941122,13909460
145,145,20230824,7306848,7277694,14584542
146,146,20230825,7751250,7720885,15472135
147,147,20230826,5645958,5612321,11258279
148,148,20230827,4154061,4130612,8284673
149,149,20230828,7090438,7064173,14154611
150,150,20230829,7110591,7083136,14193727
151,151,20230830,7480440,7452435,14932875
152,152,20230831,7540193,7514027,15054220
153,153,20230901,7934997,7907250,15842247
154,154,20230902,5872131,5841583,11713714
