,사용일자,승차총승객수,하차총승객수
0,20230401,6244798,6218351
1,20230402,4690206,4659243
2,20230403,7785943,7760490
3,20230404,7808337,7783098
4,20230405,7297518,7275609
5,20230406,7710316,7688958
6,20230407,8129012,8105939
7,20230408,5982571,5956041
8,20230409,4394585,4366765
9,20230410,7651116,7627251
10,20230411,7394194,7372949
11,20230412,7831766,7809330
12,20230413,7814034,7792529
13,20230414,7960673,7937373
14,20230415,5458411,5433694
15,20230416,4148201,4123213
16,20230417,7522969,7498419
17,20230418,7500972,7478738
18,20230419,7858135,7833858
19,20230420,7713357,7690697
20,20230421,7956313,7934121
21,20230422,5724435,5698416
22,20230423,4179814,4153250
23,20230424,7523656,7497208
24,20230425,7564203,7538166
25,20230426,7833490,7808467
26,20230427,7987762,7965827
27,20230428,8276412,8253807
28,20230429,5365267,5339949
29,20230430,4728548,4700749
30,20230501,5454807,5427611
31,20230502,7829527,7802906
32,20230503,8006592,7980715
33,20230504,8248955,8220832
34,20230505,3975049,3956171
35,20230506,4520935,4501129
36,20230507,4228096,4203759
37,20230508,7586716,7560802
38,20230509,7869196,7844948
39,20230510,7911469,7884395
40,20230511,7950611,7923369
41,20230512,8333693,8306352
42,20230513,6232112,6199767
43,20230514,4592418,4561178
44,20230515,7685793,7657299
45,20230516,7894006,7863425
46,20230517,7937941,7905829
47,20230518,7783646,7755989
48,20230519,8253607,8224852
49,20230520,6345758,6310417
50,20230521,4506382,4473152
51,20230522,7579590,7549766
52,20230523,7820907,7791091
53,20230524,7862886,7835875
54,20230525,7968864,7942002
55,20230526,8112850,8082737
56,20230527,5013113,4983170
57,20230528,3813412,3788279
58,20230529,4435248,4407626
59,20230530,7676386,7644007
60,20230531,7772857,7738699
61,20230601,7770149,7740096
62,20230602,8001428,7971912
63,20230603,5864013,5832628
64,20230604,4310797,4281211
65,20230605,7085070,7054010
66,20230606,4399283,4367746
67,20230607,7641107,7608148
68,20230608,7639259,7607977
69,20230609,7924731,7891352
70,20230610,5540249,5511585
71,20230611,4003565,3976889
72,20230612,7468364,7441464
73,20230613,7717339,7690021
74,20230614,7697833,7671842
75,20230615,7740600,7714123
76,20230616,7991451,7961767
77,20230617,5984060,5955070
78,20230618,4293978,4268141
79,20230619,7331857,7304919
80,20230620,7554697,7526028
81,20230621,7451829,7424635
82,20230622,7727182,7697729
83,20230623,8014417,7983066
84,20230624,5911215,5882119
85,20230625,4215538,4192157
86,20230626,7030853,7004619
87,20230627,7500540,7470012
88,20230628,7559512,7528349
89,20230629,6950070,6922945
90,20230630,7829028,7798804
91,20230701,5625899,5593794
92,20230702,4080516,4053370
93,20230703,7267171,7234823
94,20230704,7244698,7213777
95,20230705,7526867,7495777
96,20230706,7622949,7590191
97,20230707,7866107,7834113
98,20230708,5653693,5625042
99,20230709,3748312,3726818
100,20230710,7206436,7177710
101,20230711,7053718,7024550
102,20230712,7551503,7520516
103,20230713,7074701,7046295
104,20230714,7328511,7298051
105,20230715,5122484,5097524
106,20230716,3883886,3863336
107,20230717,7203008,7173282
108,20230718,7285416,7256422
109,20230719,7578447,7546855
110,20230720,7610579,7578802
111,20230721,7754436,7723903
112,20230722,5342715,5315659
113,20230723,3443647,3424498
114,20230724,7119060,7091012
115,20230725,7294504,7264059
116,20230726,7330871,7301630
117,20230727,7386318,7355592
118,20230728,7464202,7431724
119,20230729,5136393,5110489
120,20230730,3938783,3917747
121,20230731,6796433,6766288
122,20230801,6883381,6849992
123,20230802,6842616,6812609
124,20230803,6879836,6849042
125,20230804,6910389,6871943
126,20230805,4730782,4702166
127,20230806,3598592,3576472
128,20230807,6745721,6717927
