일자,폭염여부(O/X),행정구역
20230501,X,인천
20230502,X,인천
20230503,X,인천
20230504,X,인천
20230505,X,인천
20230506,X,인천
20230507,X,인천
20230508,X,인천
20230509,X,인천
20230510,X,인천
20230511,X,인천
20230512,X,인천
20230513,X,인천
20230514,X,인천
20230515,X,인천
20230516,X,인천
20230517,X,인천
20230518,X,인천
20230519,X,인천
20230520,X,인천
20230521,X,인천
20230522,X,인천
20230523,X,인천
20230524,X,인천
20230525,X,인천
20230526,X,인천
20230527,X,인천
20230528,X,인천
20230529,X,인천
20230530,X,인천
20230531,X,인천
20230601,X,인천
20230602,X,인천
20230603,X,인천
20230604,X,인천
20230605,X,인천
20230606,X,인천
20230607,X,인천
20230608,X,인천
20230609,X,인천
20230610,X,인천
20230611,X,인천
20230612,X,인천
20230613,X,인천
20230614,X,인천
20230615,X,인천
20230616,X,인천
20230617,X,인천
20230618,X,인천
20230619,X,인천
20230620,X,인천
20230621,X,인천
20230622,X,인천
20230623,X,인천
20230624,X,인천
20230625,X,인천
20230626,X,인천
20230627,X,인천
20230628,X,인천
20230629,X,인천
20230630,X,인천
20230701,X,인천
20230702,X,인천
20230703,X,인천
20230704,X,인천
20230705,X,인천
20230706,X,인천
20230707,X,인천
20230708,X,인천
20230709,X,인천
20230710,X,인천
20230711,X,인천
20230712,X,인천
20230713,X,인천
20230714,X,인천
20230715,X,인천
20230716,X,인천
20230717,X,인천
20230718,X,인천
20230719,X,인천
20230720,X,인천
20230721,X,인천
20230722,X,인천
20230723,X,인천
20230724,X,인천
20230725,X,인천
20230726,X,인천
20230727,X,인천
20230728,X,인천
20230729,X,인천
20230730,X,인천
20230731,X,인천
20230801,X,인천
20230802,X,인천
20230803,X,인천
20230804,X,인천
20230805,X,인천
20230806,X,인천
20230807,X,인천
20230808,O,인천
20230809,X,인천
20230810,X,인천
20230811,X,인천
20230812,X,인천
20230813,X,인천
20230814,X,인천
20230815,X,인천
20230816,X,인천
20230817,X,인천
20230818,X,인천
20230819,X,인천
20230820,X,인천
20230821,X,인천
20230822,X,인천
20230823,X,인천
20230824,X,인천
20230825,X,인천
20230826,X,인천
20230827,X,인천
20230828,X,인천
20230829,X,인천
20230830,X,인천
20230831,X,인천
20230901,X,인천
20230902,X,인천
20230903,X,인천
20230904,X,인천
20230905,X,인천
20230906,X,인천
20230907,X,인천
20230908,X,인천
20230909,X,인천
20230910,X,인천
20230911,X,인천
20230912,X,인천
20230913,X,인천
20230914,X,인천
20230915,X,인천
20230916,X,인천
20230917,X,인천
20230918,X,인천
20230919,X,인천
20230920,X,인천
20230921,X,인천
20230922,X,인천
20230923,X,인천
20230924,X,인천
20230925,X,인천
20230926,X,인천
20230927,X,인천
20230928,X,인천
20230929,X,인천
20230930,X,인천
