일자,지점명,황사관측(O/X)
20240317,서울,O
20240328,서울,O
20240329,서울,O
20240330,서울,O
20240317,백령도,O
20240328,백령도,O
20240329,백령도,O
20240317,인천,O
20240328,인천,O
20240329,인천,O
20240329,수원,X
20230523,북춘천,X
20230523,백령도,X
20230523,북강릉,X
20230523,서울,O
20230523,인천,X
20230523,울릉도,O
20230523,수원,O
20230523,청주,O
20230523,대전,O
20230523,안동,O
20230523,포항,O
20230523,대구,O
20230523,전주,O
20230523,울산,O
20230523,창원,O
20230523,광주,O
20230523,부산,O
20230523,목포,O
20230523,여수,O
20230523,흑산도,O
20230523,홍성,O
20230523,제주,O
20230523,서귀포,O
20230522,북춘천,O
20230522,백령도,O
20230522,북강릉,O
20230522,서울,O
20230522,인천,O
20230522,울릉도,O
20230522,수원,O
20230522,청주,O
20230522,대전,O
20230522,안동,O
20230522,포항,O
20230522,대구,O
20230522,전주,O
20230522,울산,O
20230522,창원,O
20230522,광주,O
20230522,부산,O
20230522,목포,O
20230522,여수,O
20230522,흑산도,O
20230522,홍성,O
20230522,제주,O
20230522,서귀포,O
20230521,북춘천,O
20230521,백령도,O
20230521,북강릉,O
20230521,서울,O
20230521,인천,O
20230521,울릉도,X
20230521,수원,X
20230521,청주,O
20230521,안동,O
20230521,대구,X
20230521,전주,X
20230521,울산,X
20230521,창원,X
20230521,광주,X
20230521,목포,X
20230521,여수,X
20230521,흑산도,X
20230521,홍성,X
20230521,제주,X
20230521,서귀포,X
20230521,대전,X
20230521,포항,X
20230521,부산,X
20230423,북춘천,X
20230423,북강릉,O
20230423,서울,X
20230423,청주,O
20230423,안동,O
20230423,포항,O
20230423,대구,O
20230423,울산,O
20230423,창원,O
20230423,광주,O
20230423,부산,O
20230423,목포,O
20230423,여수,O
20230423,제주,X
20230423,홍성,X
20230423,흑산도,X
20230423,전주,X
20230423,대전,X
20230423,수원,X
20230423,울릉도,X
20230423,인천,X
20230423,서귀포,X
20230423,백령도,X
20230422,북춘천,X
20230422,북강릉,O
20230422,울릉도,O
20230422,청주,O
20230422,대전,O
20230422,안동,O
20230422,포항,O
20230422,대구,O
20230422,전주,O
20230422,울산,O
20230422,창원,O
20230422,광주,O
20230422,부산,O
20230422,목포,O
20230422,여수,O
20230422,흑산도,O
20230422,홍성,O
20230422,제주,O
20230422,서귀포,O
20230422,인천,X
20230422,서울,X
20230422,백령도,X
20230422,수원,X
20230421,북춘천,X
20230421,백령도,O
20230421,북강릉,O
20230421,서울,X
20230421,인천,X
20230421,울릉도,O
20230421,수원,X
20230421,청주,O
20230421,대전,X
20230421,안동,O
20230421,포항,O
20230421,대구,O
20230421,전주,X
20230421,울산,O
20230421,창원,O
20230421,광주,X
20230421,부산,O
20230421,목포,X
20230421,여수,O
20230421,흑산도,X
20230421,홍성,X
20230421,제주,O
20230421,서귀포,O
20230417,북춘천,X
20230417,백령도,X
20230417,북강릉,X
20230417,서울,O
20230417,인천,X
20230417,울릉도,X
20230417,수원,X
20230417,대전,X
20230417,안동,X
20230417,포항,X
20230417,대구,X
20230417,전주,X
20230417,울산,X
20230417,창원,X
20230417,광주,X
20230417,부산,X
20230417,목포,X
20230417,여수,X
20230417,흑산도,X
20230417,홍성,X
20230417,서귀포,X
20230417,청주,X
20230417,제주,X
20230416,북춘천,O
20230416,백령도,O
20230416,북강릉,X
20230416,서울,O
20230416,인천,O
20230416,수원,X
20230416,청주,O
20230416,대전,O
20230416,안동,O
20230416,포항,O
20230416,대구,O
20230416,전주,O
20230416,울산,X
20230416,창원,X
20230416,광주,O
20230416,부산,X
20230416,목포,X
20230416,여수,O
20230416,흑산도,X
20230416,홍성,O
20230416,울릉도,X
20230416,제주,X
20230416,서귀포,X
20230415,서울,X
20230415,백령도,O
20230415,인천,X
20230415,수원,X
20230414,북춘천,O
20230414,백령도,O
20230414,북강릉,O
20230414,서울,O
20230414,인천,O
20230414,울릉도,O
20230414,수원,O
20230414,청주,O
20230414,대전,O
20230414,안동,O
20230414,포항,X
20230414,대구,X
20230414,전주,X
20230414,울산,X
20230414,창원,X
20230414,광주,X
20230414,부산,X
20230414,목포,X
20230414,여수,X
20230414,흑산도,X
20230414,홍성,O
20230414,제주,X
20230414,서귀포,X
20230412,북춘천,O
20230412,백령도,O
20230412,북강릉,O
20230412,서울,O
20230412,인천,O
20230412,울릉도,O
20230412,수원,O
20230412,청주,O
20230412,대전,O
20230412,안동,O
20230412,포항,O
20230412,대구,O
20230412,전주,O
20230412,울산,O
20230412,창원,O
20230412,광주,O
20230412,부산,O
20230412,목포,O
20230412,여수,O
20230412,흑산도,O
20230412,홍성,O
20230412,제주,O
20230412,서귀포,O
20230411,북춘천,O
20230411,백령도,O
20230411,북강릉,O
20230411,서울,O
20230411,인천,O
20230411,울릉도,O
20230411,수원,O
20230411,청주,X
20230411,대전,X
20230411,안동,O
20230411,포항,O
20230411,대구,O
20230411,전주,X
20230411,창원,X
20230411,광주,X
20230411,부산,X
20230411,목포,X
20230411,여수,X
20230411,흑산도,O
20230411,홍성,O
20230411,제주,X
20230411,서귀포,X
20230411,울산,X
