행정구역,날짜,강수량(mm),적설(cm)
경기북서부,20230401,0.0,0.0
경기동부,20230401,0.0,0.0
서울,20230401,0.0,0.0
경기중부,20230401,0.0,0.0
인천,20230401,0.0,0.0
경기동부,20230402,0.0,0.0
서울,20230402,0.0,0.0
경기중부,20230402,0.0,0.0
경기북서부,20230402,0.0,0.0
인천,20230402,0.0,0.0
경기북서부,20230403,0.0,0.0
경기동부,20230403,0.0,0.0
경기중부,20230403,0.0,0.0
서울,20230403,0.0,0.0
인천,20230403,0.0,0.0
경기중부,20230404,0.38947368421052636,0.0
인천,20230404,0.5473684210526316,0.0
경기동부,20230404,0.18421052631578946,0.0
경기북서부,20230404,0.13947368421052633,0.0
서울,20230404,0.21052631578947367,0.0
인천,20230405,1.5666666666666667,0.0
경기중부,20230405,1.5263157894736843,0.0
경기북서부,20230405,2.0526315789473686,0.0
경기동부,20230405,1.4921052631578948,0.0
서울,20230405,2.005263157894737,0.0
경기북서부,20230406,0.06315789473684211,0.0
서울,20230406,0.14210526315789473,0.0
경기동부,20230406,0.17105263157894737,0.0
경기중부,20230406,0.15263157894736842,0.0
인천,20230406,0.042105263157894736,0.0
경기북서부,20230407,0.0,0.0
경기중부,20230407,0.0,0.0
경기동부,20230407,0.0,0.0
서울,20230407,0.0,0.0
인천,20230407,0.0,0.0
인천,20230408,0.0,0.0
경기북서부,20230408,0.0,0.0
서울,20230408,0.0,0.0
경기중부,20230408,0.0,0.0
경기동부,20230408,0.0,0.0
경기북서부,20230409,0.0,0.0
인천,20230409,0.0,0.0
서울,20230409,0.0,0.0
경기중부,20230409,0.0,0.0
경기동부,20230409,0.0,0.0
서울,20230410,0.0,0.0
인천,20230410,0.0,0.0
경기중부,20230410,0.0,0.0
경기북서부,20230410,0.0,0.0
경기동부,20230410,0.0,0.0
서울,20230411,0.15263157894736842,0.0
경기중부,20230411,0.0,0.0
경기북서부,20230411,0.3157894736842105,0.0
인천,20230411,0.042105263157894736,0.0
경기동부,20230411,0.10789473684210525,0.0
경기동부,20230412,0.0,0.0
서울,20230412,0.0,0.0
경기중부,20230412,0.0,0.0
경기북서부,20230412,0.0,0.0
인천,20230412,0.0,0.0
경기동부,20230413,0.0,0.0
경기중부,20230413,0.0,0.0
서울,20230413,0.0,0.0
인천,20230413,0.012280701754385967,0.0
경기북서부,20230413,0.0,0.0
경기중부,20230414,0.0,0.0
인천,20230414,0.0368421052631579,0.0
경기북서부,20230414,0.0,0.0
서울,20230414,0.0,0.0
경기동부,20230414,0.0,0.0
경기중부,20230415,0.10526315789473684,0.0
인천,20230415,0.07719298245614035,0.0
경기북서부,20230415,0.1631578947368421,0.0
경기동부,20230415,0.2552631578947368,0.0
서울,20230415,0.24210526315789477,0.0
인천,20230416,0.0,0.0
경기북서부,20230416,0.0,0.0
경기중부,20230416,0.0,0.0
경기동부,20230416,0.04473684210526316,0.0
서울,20230416,0.0,0.0
경기동부,20230417,0.0,0.0
서울,20230417,0.0,0.0
인천,20230417,0.0,0.0
경기중부,20230417,0.0,0.0
경기북서부,20230417,0.0,0.0
서울,20230418,0.0736842105263158,0.0
인천,20230418,0.05789473684210526,0.0
경기중부,20230418,0.05263157894736842,0.0
경기북서부,20230418,0.05,0.0
경기동부,20230418,0.09736842105263159,0.0
경기북서부,20230419,0.0,0.0
경기동부,20230419,0.0,0.0
경기중부,20230419,0.0,0.0
인천,20230419,0.0,0.0
서울,20230419,0.0,0.0
경기북서부,20230420,0.01578947368421053,0.0
서울,20230420,0.0,0.0
인천,20230420,0.010526315789473686,0.0
경기동부,20230420,0.005263157894736842,0.0
경기중부,20230420,0.0,0.0
경기동부,20230421,0.0,0.0
경기북서부,20230421,0.0,0.0
경기중부,20230421,0.0,0.0
인천,20230421,0.0,0.0
서울,20230421,0.0,0.0
인천,20230422,0.0,0.0
경기동부,20230422,0.0,0.0
경기북서부,20230422,0.0,0.0
서울,20230422,0.0,0.0
경기중부,20230422,0.0,0.0
인천,20230423,0.0,0.0
서울,20230423,0.0,0.0
