물질명,권역,경보단계,일자
미세먼지,서울,주의보,20231123
미세먼지,서울,주의보,20230522
미세먼지,서울,주의보,20230523
미세먼지,서울,주의보,20230521
미세먼지,서울,주의보,20230413
미세먼지,서울,주의보,20230414
미세먼지,서울,경보,20230412
미세먼지,서울,경보,20230413
미세먼지,서울,주의보,20230411
미세먼지,서울,주의보,20230412
미세먼지,서울,주의보,20230406
미세먼지,서울,주의보,20230407
미세먼지,서울,주의보,20230324
미세먼지,서울,주의보,20230325
미세먼지,서울,경보,20230323
미세먼지,서울,경보,20230324
미세먼지,서울,주의보,20230323
미세먼지,서울,주의보,20230120
미세먼지,서울,주의보,20230107
미세먼지,서울,주의보,20230108
미세먼지,서울,주의보,20230109
미세먼지,서울,주의보,20240417
미세먼지,서울,주의보,20240418
미세먼지,서울,주의보,20240416
미세먼지,서울,주의보,20240417
미세먼지,서울,주의보,20240329
미세먼지,서울,경보,20240329
미세먼지,서울,주의보,20240329
미세먼지,서울,주의보,20240317
