일시,행정구역,한파특보(O/X)
20230401,경기남부,X
20230401,경기동부,X
20230401,경기북서부,X
20230401,경기중부,X
20230401,서울,X
20230401,인천,X
20230402,경기남부,X
20230402,경기동부,X
20230402,경기북서부,X
20230402,경기중부,X
20230402,서울,X
20230402,인천,X
20230403,경기남부,X
20230403,경기동부,X
20230403,경기북서부,X
20230403,경기중부,X
20230403,서울,X
20230403,인천,X
20230404,경기남부,X
20230404,경기동부,X
20230404,경기북서부,X
20230404,경기중부,X
20230404,서울,X
20230404,인천,X
20230405,경기남부,X
20230405,경기동부,X
20230405,경기북서부,X
20230405,경기중부,X
20230405,서울,X
20230405,인천,X
20230406,경기남부,X
20230406,경기동부,X
20230406,경기북서부,X
20230406,경기중부,X
20230406,서울,X
20230406,인천,X
20230407,경기남부,X
20230407,경기동부,X
20230407,경기북서부,X
20230407,경기중부,X
20230407,서울,X
20230407,인천,X
20230408,경기남부,X
20230408,경기동부,X
20230408,경기북서부,X
20230408,경기중부,X
20230408,서울,X
20230408,인천,X
20230409,경기남부,X
20230409,경기동부,X
20230409,경기북서부,X
20230409,경기중부,X
20230409,서울,X
20230409,인천,X
20230410,경기남부,X
20230410,경기동부,X
20230410,경기북서부,X
20230410,경기중부,X
20230410,서울,X
20230410,인천,X
20230411,경기남부,X
20230411,경기동부,X
20230411,경기북서부,주의보
20230411,경기중부,X
20230411,서울,X
20230411,인천,X
20230412,경기남부,X
20230412,경기동부,X
20230412,경기북서부,주의보
20230412,경기중부,X
20230412,서울,X
20230412,인천,X
20230413,경기남부,X
20230413,경기동부,X
20230413,경기북서부,X
20230413,경기중부,X
20230413,서울,X
20230413,인천,X
20230414,경기남부,X
20230414,경기동부,X
20230414,경기북서부,X
20230414,경기중부,X
20230414,서울,X
20230414,인천,X
20230415,경기남부,X
20230415,경기동부,X
20230415,경기북서부,X
20230415,경기중부,X
20230415,서울,X
20230415,인천,X
20230416,경기남부,X
20230416,경기동부,X
20230416,경기북서부,X
20230416,경기중부,X
20230416,서울,X
20230416,인천,X
20230417,경기남부,X
20230417,경기동부,X
20230417,경기북서부,X
20230417,경기중부,X
20230417,서울,X
20230417,인천,X
20230418,경기남부,X
20230418,경기동부,X
20230418,경기북서부,X
20230418,경기중부,X
20230418,서울,X
20230418,인천,X
20230419,경기남부,X
20230419,경기동부,X
20230419,경기북서부,X
20230419,경기중부,X
20230419,서울,X
20230419,인천,X
20230420,경기남부,X
20230420,경기동부,X
20230420,경기북서부,X
20230420,경기중부,X
20230420,서울,X
20230420,인천,X
20230421,경기남부,X
20230421,경기동부,X
20230421,경기북서부,X
20230421,경기중부,X
20230421,서울,X
20230421,인천,X
20230422,경기남부,X
20230422,경기동부,X
20230422,경기북서부,X
20230422,경기중부,X
20230422,서울,X
20230422,인천,X
20230423,경기남부,X
20230423,경기동부,X
20230423,경기북서부,X
20230423,경기중부,X
20230423,서울,X
20230423,인천,X
20230424,경기남부,X
20230424,경기동부,X
20230424,경기북서부,X
20230424,경기중부,X
20230424,서울,X
20230424,인천,X
20230425,경기남부,X
20230425,경기동부,X
20230425,경기북서부,X
20230425,경기중부,X
20230425,서울,X
20230425,인천,X
20230426,경기남부,X
20230426,경기동부,X
20230426,경기북서부,X
20230426,경기중부,X
20230426,서울,X
20230426,인천,X
20230427,경기남부,X
20230427,경기동부,X
20230427,경기북서부,X
20230427,경기중부,X
20230427,서울,X
20230427,인천,X
20230428,경기남부,X
20230428,경기동부,X
20230428,경기북서부,X
20230428,경기중부,X
20230428,서울,X
20230428,인천,X
20230429,경기남부,X
20230429,경기동부,X
20230429,경기북서부,X
20230429,경기중부,X
20230429,서울,X
20230429,인천,X
20230430,경기남부,X
20230430,경기동부,X
20230430,경기북서부,X
20230430,경기중부,X
20230430,서울,X
20230430,인천,X
20231001,경기남부,X
20231001,경기동부,X
20231001,경기북서부,X
20231001,경기중부,X
20231001,서울,X
20231001,인천,X
20231002,경기남부,X
20231002,경기동부,X
20231002,경기북서부,X
20231002,경기중부,X
20231002,서울,X
20231002,인천,X
20231003,경기남부,X
20231003,경기동부,X
20231003,경기북서부,X
20231003,경기중부,X
20231003,서울,X
20231003,인천,X
20231004,경기남부,X
20231004,경기동부,X
20231004,경기북서부,X
20231004,경기중부,X
20231004,서울,X
20231004,인천,X
20231005,경기남부,X
20231005,경기동부,X
20231005,경기북서부,X
20231005,경기중부,X
20231005,서울,X
20231005,인천,X
20231006,경기남부,X
20231006,경기동부,X
20231006,경기북서부,X
20231006,경기중부,X
20231006,서울,X
20231006,인천,X
20231007,경기남부,X
20231007,경기동부,X
20231007,경기북서부,X
20231007,경기중부,X
20231007,서울,X
20231007,인천,X
20231008,경기남부,X
20231008,경기동부,X
20231008,경기북서부,X
20231008,경기중부,X
20231008,서울,X
20231008,인천,X
20231009,경기남부,X
20231009,경기동부,X
20231009,경기북서부,X
20231009,경기중부,X
20231009,서울,X
20231009,인천,X
20231010,경기남부,X
20231010,경기동부,X
20231010,경기북서부,X
20231010,경기중부,X
20231010,서울,X
20231010,인천,X
20231011,경기남부,X
20231011,경기동부,X
20231011,경기북서부,X
20231011,경기중부,X
20231011,서울,X
20231011,인천,X
20231012,경기남부,X
20231012,경기동부,X
20231012,경기북서부,X
20231012,경기중부,X
20231012,서울,X
20231012,인천,X
20231013,경기남부,X
20231013,경기동부,X
20231013,경기북서부,X
20231013,경기중부,X
20231013,서울,X
20231013,인천,X
20231014,경기남부,X
20231014,경기동부,X
20231014,경기북서부,X
20231014,경기중부,X
20231014,서울,X
20231014,인천,X
20231015,경기남부,X
20231015,경기동부,X
20231015,경기북서부,X
20231015,경기중부,X
20231015,서울,X
20231015,인천,X
20231016,경기남부,X
20231016,경기동부,X
20231016,경기북서부,X
20231016,경기중부,X
20231016,서울,X
20231016,인천,X
20231017,경기남부,X
20231017,경기동부,X
20231017,경기북서부,X
20231017,경기중부,X
20231017,서울,X
20231017,인천,X
20231018,경기남부,X
20231018,경기동부,X
