일자,지점명,황사관측(O/X)
20240317,서울,O
20240328,서울,O
20240329,서울,O
20240330,서울,O
20240317,인천,O
20240328,인천,O
20240329,인천,O
20240329,수원,
20230523,서울,O
20230523,인천,X
20230523,수원,O
20230522,서울,O
20230522,인천,O
20230522,수원,O
20230521,서울,O
20230521,인천,O
20230521,수원,X
20230423,서울,X
20230423,수원,
20230423,인천,
20230422,인천,
20230422,서울,
20230422,수원,
20230421,서울,X
20230421,인천,X
20230421,수원,X
20230417,서울,O
20230417,인천,X
20230417,수원,X
20230416,서울,O
20230416,인천,O
20230416,수원,X
20230415,서울,X
20230415,인천,X
20230415,수원,X
20230414,서울,O
20230414,인천,O
20230414,수원,O
20230412,서울,O
20230412,인천,O
20230412,수원,O
20230411,서울,O
20230411,인천,O
20230411,수원,O
