지점번호,지점명,일자,최고기온,폭염여부(O/X)
119,수원,2023.5.1,20.1,X
119,수원,2023.5.2,24.1,X
119,수원,2023.5.3,25.8,X
119,수원,2023.5.4,26.7,X
119,수원,2023.5.5,20.9,X
119,수원,2023.5.6,19.1,X
119,수원,2023.5.7,16.8,X
119,수원,2023.5.8,20.7,X
119,수원,2023.5.9,22.6,X
119,수원,2023.5.10,25.3,X
119,수원,2023.5.11,26,X
119,수원,2023.5.12,24.3,X
119,수원,2023.5.13,23,X
119,수원,2023.5.14,23.1,X
119,수원,2023.5.15,27.4,X
119,수원,2023.5.16,30.4,X
119,수원,2023.5.17,28.2,X
119,수원,2023.5.18,24.7,X
119,수원,2023.5.19,25.9,X
119,수원,2023.5.20,26.2,X
119,수원,2023.5.21,20.8,X
119,수원,2023.5.22,25,X
119,수원,2023.5.23,25.3,X
119,수원,2023.5.24,25.5,X
119,수원,2023.5.25,26.2,X
119,수원,2023.5.26,26.2,X
119,수원,2023.5.27,20.2,X
119,수원,2023.5.28,20.1,X
119,수원,2023.5.29,26.6,X
119,수원,2023.5.30,27.6,X
119,수원,2023.5.31,27.5,X
119,수원,2023.6.1,26,X
119,수원,2023.6.2,23.9,X
119,수원,2023.6.3,26.9,X
119,수원,2023.6.4,26.9,X
119,수원,2023.6.5,24.8,X
119,수원,2023.6.6,24.7,X
119,수원,2023.6.7,25.6,X
119,수원,2023.6.8,24,X
119,수원,2023.6.9,28.1,X
119,수원,2023.6.10,28.1,X
119,수원,2023.6.11,27.9,X
119,수원,2023.6.12,27.2,X
119,수원,2023.6.13,26,X
119,수원,2023.6.14,26.5,X
119,수원,2023.6.15,26.7,X
119,수원,2023.6.16,28.4,X
119,수원,2023.6.17,29.7,X
119,수원,2023.6.18,31,X
119,수원,2023.6.19,33.6,O
119,수원,2023.6.20,25.7,X
119,수원,2023.6.21,23.5,X
119,수원,2023.6.22,25.8,X
119,수원,2023.6.23,28.7,X
119,수원,2023.6.24,30.7,X
119,수원,2023.6.25,31.9,X
119,수원,2023.6.26,26.4,X
119,수원,2023.6.27,29.8,X
119,수원,2023.6.28,29.3,X
119,수원,2023.6.29,25.1,X
119,수원,2023.6.30,29.2,X
119,수원,2023.7.1,31.2,X
119,수원,2023.7.2,30.5,X
119,수원,2023.7.3,34,O
119,수원,2023.7.4,28.3,X
119,수원,2023.7.5,26.6,X
119,수원,2023.7.6,31.7,X
119,수원,2023.7.7,30.6,X
119,수원,2023.7.8,29.5,X
119,수원,2023.7.9,28.4,X
119,수원,2023.7.10,30.9,X
119,수원,2023.7.11,25.7,X
119,수원,2023.7.12,29.8,X
119,수원,2023.7.13,25.9,X
119,수원,2023.7.14,25.1,X
119,수원,2023.7.15,25.8,X
119,수원,2023.7.16,26.4,X
119,수원,2023.7.17,27.5,X
119,수원,2023.7.18,26.4,X
119,수원,2023.7.19,31.4,X
119,수원,2023.7.20,31.7,X
119,수원,2023.7.21,34.2,O
119,수원,2023.7.22,31.6,X
119,수원,2023.7.23,25.1,X
119,수원,2023.7.24,29.9,X
119,수원,2023.7.25,30.1,X
119,수원,2023.7.26,30.9,X
119,수원,2023.7.27,32.6,X
119,수원,2023.7.28,33.9,O
119,수원,2023.7.29,33.4,O
119,수원,2023.7.30,34.4,O
119,수원,2023.7.31,32.6,X
119,수원,2023.8.1,34.4,O
119,수원,2023.8.2,33.4,O
119,수원,2023.8.3,33.5,O
119,수원,2023.8.4,33.9,O
119,수원,2023.8.5,34.1,O
119,수원,2023.8.6,34.5,O
119,수원,2023.8.7,34.9,O
119,수원,2023.8.8,34.8,O
119,수원,2023.8.9,31.9,X
119,수원,2023.8.10,24.3,X
119,수원,2023.8.11,26.6,X
119,수원,2023.8.12,26.3,X
119,수원,2023.8.13,31.7,X
119,수원,2023.8.14,32.6,X
119,수원,2023.8.15,32,X
119,수원,2023.8.16,31.6,X
119,수원,2023.8.17,32.4,X
119,수원,2023.8.18,32.9,X
119,수원,2023.8.19,32.9,X
119,수원,2023.8.20,32.4,X
119,수원,2023.8.21,33.5,O
119,수원,2023.8.22,32.2,X
119,수원,2023.8.23,27.7,X
119,수원,2023.8.24,29,X
119,수원,2023.8.25,28.9,X
119,수원,2023.8.26,29.7,X
119,수원,2023.8.27,29.5,X
119,수원,2023.8.28,25.8,X
119,수원,2023.8.29,26.9,X
119,수원,2023.8.30,25.1,X
119,수원,2023.8.31,28.2,X
119,수원,2023.9.1,29.7,X
119,수원,2023.9.2,31.3,X
119,수원,2023.9.3,29.7,X
119,수원,2023.9.4,30.2,X
119,수원,2023.9.5,32.5,X
119,수원,2023.9.6,31.7,X
119,수원,2023.9.7,31.2,X
119,수원,2023.9.8,30.6,X
119,수원,2023.9.9,31.1,X
119,수원,2023.9.10,30.4,X
119,수원,2023.9.11,30,X
119,수원,2023.9.12,30.2,X
119,수원,2023.9.13,24.3,X
119,수원,2023.9.14,26.1,X
119,수원,2023.9.15,23.4,X
119,수원,2023.9.16,26.7,X
119,수원,2023.9.17,29.1,X
119,수원,2023.9.18,29.3,X
119,수원,2023.9.19,28.1,X
119,수원,2023.9.20,22.5,X
119,수원,2023.9.21,22.4,X
119,수원,2023.9.22,26.2,X
119,수원,2023.9.23,25.7,X
119,수원,2023.9.24,24.9,X
119,수원,2023.9.25,25.8,X
119,수원,2023.9.26,21.2,X
119,수원,2023.9.27,23.4,X
119,수원,2023.9.28,26.5,X
119,수원,2023.9.29,26.3,X
119,수원,2023.9.30,23,X
