지점번호,지점명,일자,최고기온,폭염여부(O/X)
108,서울,2023.5.1,20.8,X
108,서울,2023.5.2,23.7,X
108,서울,2023.5.3,26.2,X
108,서울,2023.5.4,25.8,X
108,서울,2023.5.5,21.6,X
108,서울,2023.5.6,15.5,X
108,서울,2023.5.7,18.6,X
108,서울,2023.5.8,22,X
108,서울,2023.5.9,24.4,X
108,서울,2023.5.10,26,X
108,서울,2023.5.11,26.7,X
108,서울,2023.5.12,24.7,X
108,서울,2023.5.13,23.9,X
108,서울,2023.5.14,23.8,X
108,서울,2023.5.15,27.9,X
108,서울,2023.5.16,31.2,X
108,서울,2023.5.17,28.7,X
108,서울,2023.5.18,27.6,X
108,서울,2023.5.19,27.8,X
108,서울,2023.5.20,26.7,X
108,서울,2023.5.21,21.9,X
108,서울,2023.5.22,26.8,X
108,서울,2023.5.23,26.9,X
108,서울,2023.5.24,25.9,X
108,서울,2023.5.25,27.4,X
108,서울,2023.5.26,27.3,X
108,서울,2023.5.27,20.7,X
108,서울,2023.5.28,20.2,X
108,서울,2023.5.29,28.5,X
108,서울,2023.5.30,28.9,X
108,서울,2023.5.31,28.2,X
108,서울,2023.6.1,26.3,X
108,서울,2023.6.2,25,X
108,서울,2023.6.3,27.8,X
108,서울,2023.6.4,28,X
108,서울,2023.6.5,26.3,X
108,서울,2023.6.6,25.2,X
108,서울,2023.6.7,25.7,X
108,서울,2023.6.8,23.9,X
108,서울,2023.6.9,28.4,X
108,서울,2023.6.10,28.5,X
108,서울,2023.6.11,27.3,X
108,서울,2023.6.12,27.5,X
108,서울,2023.6.13,26,X
108,서울,2023.6.14,25,X
108,서울,2023.6.15,28.3,X
108,서울,2023.6.16,28.9,X
108,서울,2023.6.17,30.2,X
108,서울,2023.6.18,32.6,X
108,서울,2023.6.19,34,O
108,서울,2023.6.20,26.4,X
108,서울,2023.6.21,22.1,X
108,서울,2023.6.22,26.4,X
108,서울,2023.6.23,29.9,X
108,서울,2023.6.24,31.1,X
108,서울,2023.6.25,33.1,O
108,서울,2023.6.26,27.5,X
108,서울,2023.6.27,29.1,X
108,서울,2023.6.28,30.1,X
108,서울,2023.6.29,25.9,X
108,서울,2023.6.30,29.1,X
108,서울,2023.7.1,32.9,X
108,서울,2023.7.2,30.6,X
108,서울,2023.7.3,34.9,O
108,서울,2023.7.4,29.2,X
108,서울,2023.7.5,27.1,X
108,서울,2023.7.6,31.8,X
108,서울,2023.7.7,31.4,X
108,서울,2023.7.8,29.7,X
108,서울,2023.7.9,27,X
108,서울,2023.7.10,30.9,X
108,서울,2023.7.11,25.9,X
108,서울,2023.7.12,29.1,X
108,서울,2023.7.13,26.5,X
108,서울,2023.7.14,25.1,X
108,서울,2023.7.15,25.7,X
108,서울,2023.7.16,25.4,X
108,서울,2023.7.17,27.8,X
108,서울,2023.7.18,27.7,X
108,서울,2023.7.19,32.4,X
108,서울,2023.7.20,32.8,X
108,서울,2023.7.21,34.3,O
108,서울,2023.7.22,32.5,X
108,서울,2023.7.23,25.8,X
108,서울,2023.7.24,30,X
108,서울,2023.7.25,30.5,X
108,서울,2023.7.26,31.1,X
108,서울,2023.7.27,32.2,X
108,서울,2023.7.28,34.1,O
108,서울,2023.7.29,33.3,O
108,서울,2023.7.30,34.9,O
108,서울,2023.7.31,33.4,O
108,서울,2023.8.1,34.2,O
108,서울,2023.8.2,33.7,O
108,서울,2023.8.3,33.8,O
108,서울,2023.8.4,34.4,O
108,서울,2023.8.5,34.9,O
108,서울,2023.8.6,33,O
108,서울,2023.8.7,34.6,O
108,서울,2023.8.8,35.8,O
108,서울,2023.8.9,31.6,X
108,서울,2023.8.10,25.1,X
108,서울,2023.8.11,24.9,X
108,서울,2023.8.12,24.1,X
108,서울,2023.8.13,31.1,X
108,서울,2023.8.14,31.9,X
108,서울,2023.8.15,32.7,X
108,서울,2023.8.16,31.6,X
108,서울,2023.8.17,32.4,X
108,서울,2023.8.18,33.3,O
108,서울,2023.8.19,33.6,O
108,서울,2023.8.20,31.8,X
108,서울,2023.8.21,33.6,O
108,서울,2023.8.22,32.2,X
108,서울,2023.8.23,27.2,X
108,서울,2023.8.24,27.8,X
108,서울,2023.8.25,30,X
108,서울,2023.8.26,30.3,X
108,서울,2023.8.27,29.6,X
108,서울,2023.8.28,25.6,X
108,서울,2023.8.29,25.5,X
108,서울,2023.8.30,24.5,X
108,서울,2023.8.31,28.9,X
108,서울,2023.9.1,29.6,X
108,서울,2023.9.2,30.8,X
108,서울,2023.9.3,28.8,X
108,서울,2023.9.4,30.2,X
108,서울,2023.9.5,32.8,X
108,서울,2023.9.6,32.1,X
108,서울,2023.9.7,31.6,X
108,서울,2023.9.8,30.5,X
108,서울,2023.9.9,31.2,X
108,서울,2023.9.10,29.6,X
108,서울,2023.9.11,29.8,X
108,서울,2023.9.12,29.8,X
108,서울,2023.9.13,24.6,X
108,서울,2023.9.14,27.2,X
108,서울,2023.9.15,24.3,X
108,서울,2023.9.16,26.6,X
108,서울,2023.9.17,28,X
108,서울,2023.9.18,28.9,X
108,서울,2023.9.19,27.2,X
108,서울,2023.9.20,23.9,X
108,서울,2023.9.21,23.6,X
108,서울,2023.9.22,26.7,X
108,서울,2023.9.23,27.6,X
108,서울,2023.9.24,26.2,X
108,서울,2023.9.25,26,X
108,서울,2023.9.26,20.8,X
108,서울,2023.9.27,23.7,X
108,서울,2023.9.28,27.3,X
108,서울,2023.9.29,26.9,X
108,서울,2023.9.30,22.2,X
