지점번호,지점명,일자,최고기온,폭염여부(O/X)
112,인천,2023.5.1,18.5,X
112,인천,2023.5.2,22.6,X
112,인천,2023.5.3,24.9,X
112,인천,2023.5.4,26,X
112,인천,2023.5.5,21.3,X
112,인천,2023.5.6,16.7,X
112,인천,2023.5.7,18,X
112,인천,2023.5.8,18.6,X
112,인천,2023.5.9,18.8,X
112,인천,2023.5.10,22.8,X
112,인천,2023.5.11,22.7,X
112,인천,2023.5.12,22.8,X
112,인천,2023.5.13,20.6,X
112,인천,2023.5.14,21,X
112,인천,2023.5.15,25,X
112,인천,2023.5.16,26.3,X
112,인천,2023.5.17,24.8,X
112,인천,2023.5.18,24.8,X
112,인천,2023.5.19,26.6,X
112,인천,2023.5.20,22.9,X
112,인천,2023.5.21,17.8,X
112,인천,2023.5.22,22.3,X
112,인천,2023.5.23,24.6,X
112,인천,2023.5.24,22,X
112,인천,2023.5.25,24.8,X
112,인천,2023.5.26,24.1,X
112,인천,2023.5.27,20.2,X
112,인천,2023.5.28,19.1,X
112,인천,2023.5.29,24.4,X
112,인천,2023.5.30,25.8,X
112,인천,2023.5.31,24.9,X
112,인천,2023.6.1,24.9,X
112,인천,2023.6.2,22.6,X
112,인천,2023.6.3,25.9,X
112,인천,2023.6.4,23.8,X
112,인천,2023.6.5,22.8,X
112,인천,2023.6.6,22.2,X
112,인천,2023.6.7,22.7,X
112,인천,2023.6.8,22.9,X
112,인천,2023.6.9,24.9,X
112,인천,2023.6.10,26,X
112,인천,2023.6.11,26.5,X
112,인천,2023.6.12,22.8,X
112,인천,2023.6.13,23.3,X
112,인천,2023.6.14,24,X
112,인천,2023.6.15,24.3,X
112,인천,2023.6.16,25.7,X
112,인천,2023.6.17,26.3,X
112,인천,2023.6.18,27.3,X
112,인천,2023.6.19,31.8,X
112,인천,2023.6.20,24.9,X
112,인천,2023.6.21,22.7,X
112,인천,2023.6.22,25.1,X
112,인천,2023.6.23,26.7,X
112,인천,2023.6.24,28.8,X
112,인천,2023.6.25,30.8,X
112,인천,2023.6.26,25.4,X
112,인천,2023.6.27,27.6,X
112,인천,2023.6.28,27.3,X
112,인천,2023.6.29,24.5,X
112,인천,2023.6.30,26.8,X
112,인천,2023.7.1,28.7,X
112,인천,2023.7.2,28.2,X
112,인천,2023.7.3,32.4,X
112,인천,2023.7.4,26.6,X
112,인천,2023.7.5,24.5,X
112,인천,2023.7.6,29.1,X
112,인천,2023.7.7,30,X
112,인천,2023.7.8,28.6,X
112,인천,2023.7.9,25.9,X
112,인천,2023.7.10,28.4,X
112,인천,2023.7.11,25,X
112,인천,2023.7.12,27.5,X
112,인천,2023.7.13,25.7,X
112,인천,2023.7.14,24.3,X
112,인천,2023.7.15,24.5,X
112,인천,2023.7.16,24.4,X
112,인천,2023.7.17,26,X
112,인천,2023.7.18,27.1,X
112,인천,2023.7.19,30.2,X
112,인천,2023.7.20,29.4,X
112,인천,2023.7.21,32.4,X
112,인천,2023.7.22,31.7,X
112,인천,2023.7.23,25.1,X
112,인천,2023.7.24,27.3,X
112,인천,2023.7.25,28.4,X
112,인천,2023.7.26,29.6,X
112,인천,2023.7.27,31.1,X
112,인천,2023.7.28,31.7,X
112,인천,2023.7.29,32.1,X
112,인천,2023.7.30,33.7,O
112,인천,2023.7.31,31.5,X
112,인천,2023.8.1,32.8,X
112,인천,2023.8.2,31.4,X
112,인천,2023.8.3,31.6,X
112,인천,2023.8.4,32.6,X
112,인천,2023.8.5,32.8,X
112,인천,2023.8.6,32.8,X
112,인천,2023.8.7,34.6,O
112,인천,2023.8.8,34.3,O
112,인천,2023.8.9,32.5,X
112,인천,2023.8.10,27.1,X
112,인천,2023.8.11,24.8,X
112,인천,2023.8.12,25.8,X
112,인천,2023.8.13,30.5,X
112,인천,2023.8.14,31.1,X
112,인천,2023.8.15,31.2,X
112,인천,2023.8.16,29.7,X
112,인천,2023.8.17,30.4,X
112,인천,2023.8.18,31.1,X
112,인천,2023.8.19,30.8,X
112,인천,2023.8.20,30.1,X
112,인천,2023.8.21,31.8,X
112,인천,2023.8.22,30,X
112,인천,2023.8.23,25.7,X
112,인천,2023.8.24,27,X
112,인천,2023.8.25,28.3,X
112,인천,2023.8.26,28.2,X
112,인천,2023.8.27,28.4,X
112,인천,2023.8.28,25.6,X
112,인천,2023.8.29,25.5,X
112,인천,2023.8.30,24.3,X
112,인천,2023.8.31,26.9,X
112,인천,2023.9.1,28.3,X
112,인천,2023.9.2,29.1,X
112,인천,2023.9.3,28.4,X
112,인천,2023.9.4,29.7,X
112,인천,2023.9.5,31.3,X
112,인천,2023.9.6,30.4,X
112,인천,2023.9.7,31.3,X
112,인천,2023.9.8,28.6,X
112,인천,2023.9.9,29.7,X
112,인천,2023.9.10,28.5,X
112,인천,2023.9.11,28.3,X
112,인천,2023.9.12,28.7,X
112,인천,2023.9.13,24.7,X
112,인천,2023.9.14,26.4,X
112,인천,2023.9.15,24.2,X
112,인천,2023.9.16,26.8,X
112,인천,2023.9.17,27.3,X
112,인천,2023.9.18,27.7,X
112,인천,2023.9.19,26.5,X
112,인천,2023.9.20,23.8,X
112,인천,2023.9.21,22.8,X
112,인천,2023.9.22,25.3,X
112,인천,2023.9.23,26.5,X
112,인천,2023.9.24,25.6,X
112,인천,2023.9.25,25.6,X
112,인천,2023.9.26,20.9,X
112,인천,2023.9.27,22.7,X
112,인천,2023.9.28,25.3,X
112,인천,2023.9.29,25.2,X
112,인천,2023.9.30,22.4,X
