일자,지점번호,지점명,황사관측(O/X),평균 미세먼지 농도(㎍/㎥),평균 풍속(m/s),최대 풍속(m/s),최대 풍속 풍향(16방위),최다풍향(16방위),기사,최단시정(10m),대기확산지수:+03시간,+06시간,+09시간,+12시간,+15시간,+18시간,+21시간,+24시간
2023-04-14,93,북춘천,O,87,0.9,3.3,320,250,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1240. {비}0410-0415. {비}0540-0545. {비}0605-0710. {비}0855-{비}{강도0}0900-0940. {비}1017-1055. {비}1105-1130.,1600,,,,,,,,
2023-04-14,102,백령도,O,87,3.7,9.9,140,140,{비}0120-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-1015. -{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-0930. {박무}0740-0830. {안개비}1450-{안개비}{강도1}1500-1525. {박무}1450-{박무}{강도0}1500-1525. {비}2140-{비}{강도0}2400-,614,,,,,,,,
2023-04-14,104,북강릉,O,,1.1,3.6,180,50,-{황사}-{황사}{강도0}0300-0540. {황사}0920-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-2350.,1061,,,,,,,,
2023-04-14,108,서울,O,109,1.6,4.5,290,180,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-1150.,1531,,,,,,,,
2023-04-14,112,인천,O,,2.8,5.8,180,180,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1345.,1965,,,,,,,,
2023-04-14,115,울릉도,O,105,3,9,270,70,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-0620. {황사}0805-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-1720.,1185,,,,,,,,
2023-04-14,119,수원,O,93,1.4,4.1,290,250,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-1157.,1904,,,,,,,,
2023-04-14,131,청주,O,,0.7,2.5,140,140,-{황사}-0050.,1464,,,,,,,,
2023-04-14,133,대전,O,,0.5,3.5,140,110,-{황사}-0150.,2028,,,,,,,,
2023-04-14,136,안동,O,88,0.8,3.3,160,200,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-1140.,1554,,,,,,,,
2023-04-14,138,포항,X,,2.5,5.2,230,230,{비}1620-1645. {비}2335-{비}{강도0}2400-,1076,,,,,,,,
