번호,권역,항목,경보단계,발령시간,발령농도,해제시간,해제농도
25,남부,PM2.5,주의보,2024-03-03 11,81,2024-03-05 13,32
24,남부,PM2.5,주의보,2024-02-11 22,77,2024-02-12 16,32
23,남부,PM2.5,주의보,2024-02-01 10,81,2024-02-02 03,30
22,동부,PM2.5,주의보,2024-02-01 10,80,2024-02-01 20,34
21,중부,PM2.5,주의보,2024-02-01 09,76,2024-02-03 09,34
20,북부,PM2.5,주의보,2024-02-01 09,75,2024-02-01 21,31
19,중부,PM2.5,주의보,2024-01-11 09,77,2024-01-11 16,31
18,남부,PM2.5,주의보,2024-01-11 09,77,2024-01-12 14,33
17,북부,PM2.5,주의보,2024-01-05 20,79,2024-01-06 04,34
16,남부,PM2.5,주의보,2024-01-05 15,79,2024-01-06 04,29
15,중부,PM2.5,주의보,2024-01-05 14,77,2024-01-05 24,24
14,남부,PM2.5,주의보,2023-12-27 22,79,2023-12-28 17,28
13,중부,PM2.5,주의보,2023-12-27 20,79,2023-12-28 14,31
12,중부,PM2.5,주의보,2023-12-06 20,97,2023-12-06 24,23
11,남부,PM2.5,주의보,2023-12-06 20,97,2023-12-07 01,28
10,동부,PM2.5,주의보,2023-11-23 12,84,2023-11-23 19,33
9,북부,PM2.5,주의보,2023-11-23 11,87,2023-11-23 18,27
8,남부,PM2.5,주의보,2023-11-23 09,85,2023-11-23 20,25
7,중부,PM2.5,주의보,2023-11-23 08,95,2023-11-23 19,25
6,남부,PM2.5,주의보,2023-04-07 09,71,2023-04-07 15,26
5,남부,PM2.5,경보,2023-04-07 01,151,2023-04-07 09,71
4,동부,PM2.5,주의보,2023-04-06 21,97,2023-04-07 14,29
3,북부,PM2.5,주의보,2023-04-06 20,103,2023-04-07 14,25
2,남부,PM2.5,주의보,2023-04-06 19,92,2023-04-07 01,151
1,중부,PM2.5,주의보,2023-04-06 16,95,2023-04-07 11,33
